version,rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,oos_sharpe,oos_accuracy,oos_balanced_accuracy,oos_f1
double_threshold_045_060,2000-05-26,0,0.45,0.6,-1.4891573396318472,0.8412698412698413,0.678921568627451,0.5
double_threshold_045_060,2000-11-27,0,0.45,0.6,0.11484505428052616,0.8790322580645161,0.8793939393939394,0.7457627118644068
double_threshold_045_060,2001-05-29,0,0.45,0.6,-0.2854680796013002,0.9354838709677419,0.870020964360587,0.7777777777777778
double_threshold_045_060,2001-11-29,0,0.45,0.6,-2.269705639606165,0.8852459016393442,0.7728365384615384,0.6818181818181818
double_threshold_045_060,2002-05-29,12,0.45,0.6,0.0,0.78125,0.5,0.0
double_threshold_045_060,2002-11-29,12,0.45,0.6,-1.874847890796769,0.5573770491803278,0.5450549450549451,0.47058823529411764
double_threshold_045_060,2003-05-29,8,0.45,0.6,1.3615673410704892,0.7578125,0.5235714285714286,0.8584474885844748
double_threshold_045_060,2003-12-01,12,0.45,0.6,0.5140943788984567,0.7580645161290323,0.6256601429015222,0.8469387755102041
double_threshold_045_060,2004-06-01,8,0.45,0.6,0.3076857467410816,0.6984126984126984,0.6679035250463823,0.7654320987654321
double_threshold_045_060,2004-12-01,12,0.45,0.6,-1.2358279260510314,0.5967741935483871,0.5929989550679206,0.6323529411764706
double_threshold_045_060,2005-06-01,4,0.45,0.6,-0.2994805615642952,0.7716535433070866,0.7617021276595746,0.8152866242038217
double_threshold_045_060,2005-12-01,8,0.45,0.6,-0.787873747694913,0.6991869918699187,0.5568111455108359,0.8102564102564103
double_threshold_045_060,2006-06-01,8,0.45,0.6,2.658732341996305,0.8740157480314961,0.8859898798228969,0.9090909090909091
double_threshold_045_060,2006-12-01,0,0.45,0.6,0.8159993843943749,0.9672131147540983,0.9401960784313725,0.9803921568627451
double_threshold_045_060,2007-06-01,8,0.45,0.6,-1.4823655922058945,0.6614173228346457,0.6719556243550051,0.6324786324786325
double_threshold_045_060,2007-12-03,4,0.45,0.6,-0.9268341792916035,0.7903225806451613,0.7273809523809525,0.6285714285714286
double_threshold_045_060,2008-06-03,8,0.45,0.6,0.0,0.9448818897637795,0.5,0.0
double_threshold_045_060,2008-12-03,8,0.45,0.6,1.7082463225707767,0.8780487804878049,0.8609154929577465,0.8387096774193549
double_threshold_045_060,2009-06-03,8,0.45,0.6,2.119712221278004,0.84251968503937,0.5,0.9145299145299145
double_threshold_045_060,2009-12-03,8,0.45,0.6,-0.1826838440385076,0.7479674796747967,0.6578313253012048,0.8306010928961749
double_threshold_045_060,2010-06-03,8,0.45,0.6,0.7467871373284041,0.6929133858267716,0.7009857612267251,0.7417218543046358
double_threshold_045_060,2010-12-03,4,0.45,0.6,0.9543544864674073,0.8548387096774194,0.5448048378229796,0.9203539823008849
double_threshold_045_060,2011-06-03,4,0.45,0.6,-0.603784968543405,0.7559055118110236,0.7287976382179281,0.651685393258427
double_threshold_045_060,2011-12-05,4,0.45,0.6,0.6716765068572114,0.8225806451612904,0.7130718954248366,0.8865979381443299
double_threshold_045_060,2012-06-05,4,0.45,0.6,0.7221677627706716,0.768,0.7473166368515205,0.8263473053892215
double_threshold_045_060,2012-12-05,4,0.45,0.6,2.8784399972159824,0.9512195121951219,0.5,0.975
double_threshold_045_060,2013-06-05,4,0.45,0.6,0.5866583685918346,0.7795275590551181,0.6707407407407407,0.86
double_threshold_045_060,2013-12-05,0,0.45,0.6,0.05471460421149337,0.8780487804878049,0.8295454545454546,0.9230769230769231
