rebalance_date,train_start,train_end,val_start,val_end,oos_start,oos_end,selected_config_id,selected_smoothing_halflife,selected_threshold,oos_sharpe,oos_accuracy,oos_balanced_accuracy,oos_f1,validation_sharpe,validation_accuracy,validation_balanced_accuracy,validation_f1
2008-04-28,1993-04-28,2004-04-27,2004-04-28,2008-04-25,2008-04-28,2008-10-27,cfg_002,8,0.6,0.31642465151795124,0.7165354330708661,0.6665282392026578,0.55,-0.2837453540899211,0.7334669338677354,0.7255603934849217,0.6779661016949152
2008-10-28,1993-10-28,2004-10-27,2004-10-28,2008-10-27,2008-10-28,2009-04-27,cfg_002,8,0.6,-1.264648310233615,0.8130081300813008,0.5717684377478192,0.25806451612903225,-0.2289037222792315,0.7377377377377378,0.7309892585589572,0.6895734597156398
2009-04-28,1994-04-28,2005-04-27,2005-04-28,2009-04-27,2009-04-28,2009-10-27,cfg_003,12,0.6,1.0534845781475357,0.7874015748031497,0.5521706016755521,0.8767123287671232,-0.3958810169795618,0.7084168336673347,0.6848416437639053,0.6019151846785226
2009-10-28,1994-10-28,2005-10-27,2005-10-28,2009-10-27,2009-10-28,2010-04-27,cfg_003,12,0.6,2.3540312484276336,0.7317073170731707,0.7436688311688312,0.7924528301886793,-0.05665992241612462,0.7214428857715431,0.7145073981967022,0.669047619047619
2010-04-28,1995-04-28,2006-04-27,2006-04-28,2010-04-27,2010-04-28,2010-10-27,cfg_002,8,0.6,0.5293740450266027,0.7559055118110236,0.7383048289738431,0.6804123711340206,0.12929286557044933,0.7575150300601202,0.7487416650482295,0.7091346153846154
2010-10-28,1995-10-30,2006-10-27,2006-10-30,2010-10-27,2010-10-28,2011-04-27,cfg_003,12,0.6,1.8973188404381145,0.8064516129032258,0.5211538461538462,0.8909090909090909,0.37986594334298385,0.7284569138276553,0.7198764077575914,0.6699147381242387
2011-04-28,1996-04-29,2007-04-27,2007-04-30,2011-04-27,2011-04-28,2011-10-27,cfg_003,12,0.6,-2.3855017491103228,0.6614173228346457,0.5486596736596736,0.31746031746031744,0.7751070944370182,0.747,0.7447169569672132,0.7147688838782412
2011-10-28,1996-10-28,2007-10-26,2007-10-29,2011-10-27,2011-10-28,2012-04-27,cfg_002,8,0.6,-0.0083067610064182,0.717741935483871,0.6622926093514329,0.7976878612716763,0.37275985044842747,0.7772227772227772,0.7732988461600012,0.7468785471055619
2012-04-30,1997-04-30,2008-04-29,2008-04-30,2012-04-27,2012-04-30,2012-10-26,cfg_003,12,0.6,-1.860977119562856,0.6507936507936508,0.6445461479786423,0.6901408450704225,0.6637206849283119,0.733,0.7369398475644144,0.7369458128078817
2012-10-31,1997-10-31,2008-10-30,2008-10-31,2012-10-26,2012-10-31,2013-04-29,cfg_001,4,0.6,1.5959577782468475,0.8360655737704918,0.7721088435374149,0.8958333333333334,0.43945367283880943,0.8036072144288577,0.8034515230920406,0.8234234234234235
2013-04-30,1998-04-30,2009-04-29,2009-04-30,2013-04-29,2013-04-30,2013-10-29,cfg_003,12,0.6,1.9649657260650903,0.8188976377952756,0.5478436657681941,0.8977777777777778,0.622498447334247,0.7254509018036072,0.7120384883315918,0.7797427652733119
