Date,predicted_probability_raw,predicted_probability_smoothed,selected_smoothing_halflife,selected_threshold,predicted_label,predicted_bear_flag,predicted_bull_flag
2008-04-29,0.9921897053718567,0.9921897053718567,8,0.45,1,0,1
2008-04-30,0.9260330200195312,0.9866989679726329,8,0.45,1,0,1
2008-05-01,0.9405971169471741,0.9828727007367393,8,0.45,1,0,1
2008-05-02,0.9896855354309082,0.9834381384706703,8,0.45,1,0,1
2008-05-05,0.9879401922225952,0.9838117907293553,8,0.45,1,0,1
2008-05-06,0.9855270385742188,0.9839541493653808,8,0.45,1,0,1
2008-05-07,0.993285059928894,0.9847285772153713,8,0.45,1,0,1
2008-05-08,0.9361247420310974,0.9806946554103301,8,0.45,1,0,1
2008-05-09,0.9406276941299438,0.977369259622983,8,0.45,1,0,1
2008-05-12,0.9896097183227539,0.9783851682043843,8,0.45,1,0,1
2008-05-13,0.9974489808082581,0.9799673875716095,8,0.45,1,0,1
2008-05-14,0.9975874423980713,0.9814297808807179,8,0.45,1,0,1
2008-05-15,0.9959174990653992,0.9826322029132365,8,0.45,1,0,1
2008-05-16,0.996145486831665,0.9837537508414934,8,0.45,1,0,1
2008-05-19,0.9938381314277649,0.9845907136569392,8,0.45,1,0,1
2008-05-20,0.9977250695228577,0.9856808120889213,8,0.45,1,0,1
2008-05-21,0.9976951479911804,0.9866779533923898,8,0.45,1,0,1
2008-05-22,0.8377874493598938,0.974320643552474,8,0.45,1,0,1
2008-05-23,0.7910625338554382,0.9591109613976653,8,0.45,1,0,1
2008-05-27,0.7718486785888672,0.9435689490642717,8,0.45,1,0,1
2008-05-28,0.760742723941803,0.9283951115829543,8,0.45,1,0,1
2008-05-29,0.8722261786460876,0.9237333172516864,8,0.45,1,0,1
2008-05-30,0.9714776873588562,0.9276959069303212,8,0.45,1,0,1
2008-06-02,0.9788482189178467,0.9319413420060191,8,0.45,1,0,1
2008-06-03,0.8567565679550171,0.9257013097472155,8,0.45,1,0,1
2008-06-04,0.8256097435951233,0.9173941144472797,8,0.45,1,0,1
2008-06-05,0.9474021196365356,0.9198846575494811,8,0.45,1,0,1
2008-06-06,0.9986231327056885,0.9264196326316758,8,0.45,1,0,1
2008-06-09,0.5180116295814514,0.8925234196556528,8,0.45,1,0,1
2008-06-10,0.2330651581287384,0.8377910502736424,8,0.45,1,0,1
2008-06-11,0.24020130932331085,0.788193517952397,8,0.45,1,0,1
2008-06-12,0.011282806284725666,0.7237130700929989,8,0.45,1,0,1
2008-06-13,0.012745631858706474,0.6647056473064199,8,0.45,1,0,1
2008-06-16,0.3330197334289551,0.6371770575286266,8,0.45,1,0,1
2008-06-17,0.7116430997848511,0.6433574379544433,8,0.45,1,0,1
2008-06-18,0.5948832631111145,0.6393342774334572,8,0.45,1,0,1
2008-06-19,0.3316721022129059,0.6137995608312954,8,0.45,1,0,1
2008-06-20,0.3141273558139801,0.5889279794509173,8,0.45,1,0,1
2008-06-23,0.006999992299824953,0.5406303093713326,8,0.45,1,0,1
2008-06-24,0.006403172388672829,0.49629161699142754,8,0.45,1,0,1
2008-06-25,0.0057731615379452705,0.45558056845529893,8,0.45,1,0,1
2008-06-26,0.004020388703793287,0.4181028992861521,8,0.45,0,1,0
2008-06-27,0.0028980234637856483,0.3836425733511891,8,0.45,0,1,0
2008-06-30,0.006238133646547794,0.35231953077909745,8,0.45,0,1,0
2008-07-01,0.0036158894654363394,0.323378538430255,8,0.45,0,1,0
2008-07-02,0.0034573343582451344,0.29682637199918493,8,0.45,0,1,0
2008-07-03,0.002245398471131921,0.27237734224752475,8,0.45,0,1,0
2008-07-07,0.004772231914103031,0.2501672000720829,8,0.45,0,1,0
2008-07-08,0.002659612102434039,0.22962507099443785,8,0.45,0,1,0
2008-07-09,0.004484125413000584,0.21093928280210142,8,0.45,0,1,0
2008-07-10,0.0032630388159304857,0.19370299422880902,8,0.45,0,1,0
2008-07-11,0.0014518697280436754,0.17774692820589014,8,0.45,0,1,0
2008-07-14,0.002354181371629238,0.16319003936741977,8,0.45,0,1,0
2008-07-15,0.0014396350597962737,0.1497654097998773,8,0.45,0,1,0
2008-07-16,0.0014846432022750378,0.13745870570176447,8,0.45,0,1,0
2008-07-17,0.0023144104052335024,0.12624227560819842,8,0.45,0,1,0
2008-07-18,0.03987531736493111,0.11907416727329624,8,0.45,0,1,0
2008-07-21,0.057880889624357224,0.11399537264538034,8,0.45,0,1,0
2008-07-22,0.04801351949572563,0.10851914561209587,8,0.45,0,1,0
2008-07-23,0.5659980177879333,0.14648804232197743,8,0.45,0,1,0
2008-07-24,0.5220807790756226,0.17766072087422227,8,0.45,0,1,0
2008-07-25,0.005781375337392092,0.16339543013803812,8,0.45,0,1,0
2008-07-28,0.012935971841216087,0.1509079034377865,8,0.45,0,1,0
2008-07-29,0.0016411765245720744,0.13851936861991723,8,0.45,0,1,0
2008-07-30,0.019205881282687187,0.12861683157977646,8,0.45,0,1,0
2008-07-31,0.2069815695285797,0.1351207879848526,8,0.45,0,1,0
2008-08-01,0.028298217803239822,0.12625494656529349,8,0.45,0,1,0
2008-08-04,0.06823892146348953,0.12143985105250746,8,0.45,0,1,0
2008-08-05,0.0021285281982272863,0.11153749365570009,8,0.45,0,1,0
2008-08-06,0.11895301938056946,0.112152952308376,8,0.45,0,1,0
2008-08-07,0.3969184458255768,0.1357873369051301,8,0.45,0,1,0
2008-08-08,0.02108292654156685,0.12626733461836215,8,0.45,0,1,0
2008-08-11,0.3437826633453369,0.1443202274437079,8,0.45,0,1,0
2008-08-12,0.548314094543457,0.17785008498309646,8,0.45,0,1,0
2008-08-13,0.3308732807636261,0.19055039152878042,8,0.45,0,1,0
2008-08-14,0.266759991645813,0.19687548020748294,8,0.45,0,1,0
2008-08-15,0.26043885946273804,0.2021509836859172,8,0.45,0,1,0
2008-08-18,0.2849685251712799,0.2090245047809317,8,0.45,0,1,0
2008-08-19,0.025076957419514656,0.19375760208751683,8,0.45,0,1,0
2008-08-20,0.006769558414816856,0.1782383504936144,8,0.45,0,1,0
2008-08-21,0.03897827863693237,0.16668032758648282,8,0.45,0,1,0
2008-08-22,0.07261934876441956,0.1588736466520405,8,0.45,0,1,0
2008-08-25,0.41378024220466614,0.18002986344337057,8,0.45,0,1,0
2008-08-26,0.004110874142497778,0.16542929860787745,8,0.45,0,1,0
2008-08-27,0.02099572867155075,0.15344189627764698,8,0.45,0,1,0
2008-08-28,0.11481437087059021,0.15023596784785243,8,0.45,0,1,0
2008-08-29,0.4439907670021057,0.17461642846687933,8,0.45,0,1,0
2008-09-02,0.18867410719394684,0.17578315896315364,8,0.45,0,1,0
2008-09-03,0.10292041301727295,0.1697358456486403,8,0.45,0,1,0
2008-09-04,0.008894671685993671,0.15638667852352653,8,0.45,0,1,0
2008-09-05,0.0019940719939768314,0.14357271642248182,8,0.45,0,1,0
2008-09-08,0.002510886639356613,0.13186515489233153,8,0.45,0,1,0
2008-09-09,0.005040265154093504,0.12133920182304438,8,0.45,0,1,0
2008-09-10,0.0013390700332820415,0.1113796760695875,8,0.45,0,1,0
2008-09-11,0.0010098990751430392,0.10221943082664652,8,0.45,0,1,0
2008-09-12,0.001154331723228097,0.09383143622794357,8,0.45,0,1,0
2008-09-15,0.00218643038533628,0.08622527128252289,8,0.45,0,1,0
2008-09-16,0.0008384410757571459,0.07913850961179207,8,0.45,0,1,0
2008-09-17,0.0008122617146000266,0.07263774772537651,8,0.45,0,1,0
