rebalance_date,train_start,train_end,val_start,val_end,oos_start,oos_end,selected_config_id,selected_smoothing_halflife,selected_threshold,oos_sharpe,oos_accuracy,oos_balanced_accuracy,oos_f1,validation_sharpe,validation_accuracy,validation_balanced_accuracy,validation_f1
2008-04-28,1993-04-28,2004-04-27,2004-04-28,2008-04-25,2008-04-28,2008-10-27,cfg_009,8,0.45,0.05204529875382059,0.8818897637795275,0.9114357864357865,0.782608695652174,0.19423948447638298,0.750501002004008,0.7509197082637193,0.7657572906867357
2008-10-28,1993-10-28,2004-10-27,2004-10-28,2008-10-27,2008-10-28,2009-04-27,cfg_011,8,0.55,-0.9638842652422576,0.7967479674796748,0.5661654135338345,0.24242424242424243,0.28783348779915163,0.7777777777777778,0.7775382603952772,0.7711340206185567
2009-04-28,1994-04-28,2005-04-27,2005-04-28,2009-04-27,2009-04-28,2009-10-27,cfg_009,8,0.45,1.4400320214989342,0.8267716535433071,0.5386705685618729,0.9035087719298246,0.22088000374931713,0.779559118236473,0.781948728815286,0.7619047619047619
2009-10-28,1994-10-28,2005-10-27,2005-10-28,2009-10-27,2009-10-28,2010-04-27,cfg_009,8,0.45,1.1209178771542103,0.7642276422764228,0.6430667644900954,0.8497409326424871,0.5869514728217069,0.7905811623246493,0.793201966473243,0.7903711133400201
2010-04-28,1995-04-28,2006-04-27,2006-04-28,2010-04-27,2010-04-28,2010-10-27,cfg_009,8,0.45,-0.9006125865202159,0.7559055118110236,0.7555970149253731,0.743801652892562,0.5795290752371931,0.7935871743486974,0.7958318715042121,0.790224032586558
2010-10-28,1995-10-30,2006-10-27,2006-10-30,2010-10-27,2010-10-28,2011-04-27,cfg_010,8,0.5,2.932213306465741,0.9112903225806451,0.5,0.9535864978902954,0.6460954896156473,0.7855711422845691,0.7856399458323455,0.7820773930753564
2011-04-28,1996-04-29,2007-04-27,2007-04-30,2011-04-27,2011-04-28,2011-10-27,cfg_010,8,0.5,-1.856469031916463,0.7401574803149606,0.6955459770114942,0.5822784810126582,0.8811791968754981,0.81,0.8098199528571828,0.8148148148148148
2011-10-28,1996-10-28,2007-10-26,2007-10-29,2011-10-27,2011-10-28,2012-04-27,cfg_007,4,0.5,0.03495286812737214,0.7661290322580645,0.6080163043478262,0.8557213930348259,0.6544089709631961,0.8531468531468531,0.8530370192883671,0.849846782431052
2012-04-30,1997-04-30,2008-04-29,2008-04-30,2012-04-27,2012-04-30,2012-10-26,cfg_007,4,0.5,-1.7905428274442285,0.7222222222222222,0.719672131147541,0.7482014388489209,0.774964349557465,0.837,0.8302790200272214,0.8586296617519514
2012-10-31,1997-10-31,2008-10-30,2008-10-31,2012-10-26,2012-10-31,2013-04-29,cfg_006,4,0.45,2.2106310880052558,0.8852459016393442,0.6745017884517118,0.9351851851851852,0.7200526905934679,0.814629258517034,0.7932919073336531,0.8532910388580491
2013-04-30,1998-04-30,2009-04-29,2009-04-30,2013-04-29,2013-04-30,2013-10-29,cfg_006,4,0.45,0.42148975065683414,0.7952755905511811,0.6702749140893471,0.8712871287128713,0.8394591923078801,0.8196392785571143,0.761005262202867,0.8739495798319328
2013-10-30,1998-10-30,2009-10-29,2009-10-30,2013-10-29,2013-10-30,2014-04-29,cfg_006,4,0.45,0.44667913527000075,0.7967479674796748,0.6858766233766234,0.8691099476439791,0.7705065583412308,0.8156312625250501,0.7630309988518944,0.8693181818181818
2014-04-30,1999-04-30,2010-04-29,2010-04-30,2014-04-29,2014-04-30,2014-10-29,cfg_006,4,0.45,0.5412534708319425,0.8031496062992126,0.7691489361702128,0.8520710059171598,0.5268018574722241,0.8086172344689379,0.7555983352992233,0.8638631503920171
2014-10-30,1999-11-01,2010-10-29,2010-11-01,2014-10-29,2014-10-30,2015-04-29,cfg_001,0,0.5,-0.11520151408868481,0.8211382113821138,0.6895321173671689,0.89,0.6104101521806339,0.8807615230460922,0.858573558078202,0.9126925898752751
2015-04-30,2000-05-01,2011-04-29,2011-05-02,2015-04-29,2015-04-30,2015-10-29,cfg_006,4,0.45,-1.4857854120904859,0.7322834645669292,0.735,0.6964285714285714,0.3876110238268498,0.8004012036108324,0.7400969237252424,0.8599577762139339
2015-10-30,2000-10-30,2011-10-28,2011-10-31,2015-10-29,2015-10-30,2016-04-29,cfg_011,8,0.55,0.5044913358699201,0.8306451612903226,0.8306388526727511,0.8372093023255814,0.6146383218450432,0.7565130260521042,0.7057057949479941,0.8250539956803455
2016-05-02,2001-05-02,2012-05-01,2012-05-02,2016-04-29,2016-05-02,2016-11-01,cfg_011,8,0.55,0.2575058572223612,0.7734375,0.6930388219544846,0.8465608465608465,0.39260764780727486,0.7642928786359077,0.7290222386236831,0.8231753197893152
2016-11-02,2001-11-02,2012-11-01,2012-11-02,2016-11-01,2016-11-02,2017-05-01,cfg_006,4,0.45,1.6615419907394926,0.860655737704918,0.623249299719888,0.9216589861751152,0.45561434468883794,0.7997997997997998,0.7367701506988086,0.8603351955307262
2017-05-02,2002-05-02,2013-05-01,2013-05-02,2017-05-01,2017-05-02,2017-11-01,cfg_006,4,0.45,0.6485036862028702,0.8828125,0.7925039872408294,0.9253731343283582,0.3522552247037387,0.7967967967967968,0.7310330875741773,0.8589298123697012
2017-11-02,2002-11-04,2013-11-01,2013-11-04,2017-11-01,2017-11-02,2018-05-01,cfg_006,4,0.45,-1.4716643702555448,0.8524590163934426,0.8323232323232324,0.8860759493670886,0.4831871143669713,0.8068068068068068,0.7465592006033183,0.8647512263489839
2018-05-02,2003-05-02,2014-05-01,2014-05-02,2018-05-01,2018-05-02,2018-11-01,cfg_011,8,0.55,0.543132452085767,0.7734375,0.7108214185590132,0.8415300546448088,0.29259370353357494,0.7887887887887888,0.7483314794215795,0.8447387785136129
2018-11-02,2003-11-03,2014-10-31,2014-11-03,2018-11-01,2018-11-02,2019-05-01,cfg_011,8,0.55,1.5142938537139436,0.8016528925619835,0.8039965986394557,0.8260869565217391,0.38578023777215265,0.788,0.7422158339971253,0.8463768115942029
2019-05-02,2004-05-03,2015-05-01,2015-05-04,2019-05-01,2019-05-02,2019-11-01,cfg_011,8,0.55,-1.2499744993737436,0.65625,0.657843137254902,0.6615384615384615,0.39443602553219154,0.7915831663326653,0.7698321692901073,0.8385093167701864
2019-11-04,2004-11-04,2015-11-03,2015-11-04,2019-11-01,2019-11-04,2020-05-01,cfg_000,0,0.45,-1.3014928587280146,0.9186991869918699,0.9114331723027376,0.9305555555555556,0.5375842807543376,0.8927855711422845,0.8709637488947833,0.9197299324831207
2020-05-04,2005-05-04,2016-05-03,2016-05-04,2020-05-01,2020-05-04,2020-11-03,cfg_001,0,0.5,0.4347626781466822,0.90625,0.9014014014014013,0.92,0.3508793321802002,0.8907815631262525,0.8716600271515367,0.918106686701728
2020-11-04,2005-11-04,2016-11-03,2016-11-04,2020-11-03,2020-11-04,2021-05-03,cfg_001,0,0.5,2.8275418118713347,0.9262295081967213,0.6254658385093168,0.961038961038961,0.4604024986444098,0.9028056112224448,0.8898466294138627,0.9256704980842911
