Date,spy_predicted_label,spy_predicted_bull_flag,spy_predicted_bear_flag,spy_smoothed_prob,mid_predicted_label,mid_predicted_bull_flag,mid_predicted_bear_flag,mid_smoothed_prob,rut_predicted_label,rut_predicted_bull_flag,rut_predicted_bear_flag,rut_smoothed_prob
2008-04-29,1.0,1.0,0.0,0.9803168773651123,1,1,0,0.9921897053718567,1,1,0,0.8838414549827576
2008-04-30,1.0,1.0,0.0,0.9814856276371833,1,1,0,0.9866989679726329,1,1,0,0.8515173996917967
2008-05-01,1.0,1.0,0.0,0.9798639184249047,1,1,0,0.9828727007367393,1,1,0,0.8244398321409016
2008-05-02,1.0,1.0,0.0,0.9806464824550805,1,1,0,0.9834381384706703,1,1,0,0.8383088328036538
2008-05-05,1.0,1.0,0.0,0.980733272363188,1,1,0,0.9838117907293553,1,1,0,0.8427297817619476
2008-05-06,1.0,1.0,0.0,0.9813019931464464,1,1,0,0.9839541493653808,1,1,0,0.8356473967306098
2008-05-07,1.0,1.0,0.0,0.9823719850903118,1,1,0,0.9847285772153713,1,1,0,0.847636480649671
2008-05-08,1.0,1.0,0.0,0.9722959792977227,1,1,0,0.9806946554103301,1,1,0,0.8252633535382506
2008-05-09,1.0,1.0,0.0,0.9243628984173651,1,1,0,0.977369259622983,1,1,0,0.807203995621196
2008-05-12,1.0,1.0,0.0,0.8925243634248587,1,1,0,0.9783851682043843,1,1,0,0.8083266117245405
2008-05-13,1.0,1.0,0.0,0.8964974275634087,1,1,0,0.9799673875716095,1,1,0,0.8230872841946525
2008-05-14,1.0,1.0,0.0,0.8800313348069735,1,1,0,0.9814297808807179,1,1,0,0.8367446841982
2008-05-15,1.0,1.0,0.0,0.8865162112122323,1,1,0,0.9826322029132365,1,1,0,0.8494954173621996
2008-05-16,1.0,1.0,0.0,0.8931769852720942,1,1,0,0.9837537508414934,1,1,0,0.8615539700690263
2008-05-19,1.0,1.0,0.0,0.8973038935592927,1,1,0,0.9845907136569392,1,1,0,0.8723058816521083
2008-05-20,1.0,1.0,0.0,0.9016790096839189,1,1,0,0.9856808120889213,1,1,0,0.881448294233258
