Date,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,rebalance_date,predicted_label,predicted_probability_raw,predicted_probability_smoothed,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,signal_zone,y_true,rising_entry_trigger,drawdown_entry_trigger,equity_predicted_strategy
2000-05-26,0.0,0.0,0.00022638173304612152,0.00022638173304612152,0.0,2000-05-26,0,0.0017521206755191088,0.0017521206755191088,0,0.45,0.68,bear,0,0,0,1.0002263817330461
2000-05-30,0.0,0.0,0.00021737376450348123,0.00021737376450348123,0.0,2000-05-26,0,0.1473124921321869,0.1473124921321869,0,0.45,0.68,bear,0,0,0,1.0004438047069992
2000-05-31,0.0,0.0,0.00022150494454731273,0.00022150494454731273,0.0,2000-05-26,0,0.16721884906291962,0.16721884906291962,0,0.45,0.68,bear,0,0,0,1.0006654079564836
2000-06-01,0.0,0.0,0.00022638173304612152,0.00022638173304612152,0.0,2000-05-26,0,0.2898462414741516,0.2898462414741516,0,0.45,0.68,bear,1,0,0,1.0008919403257361
2000-06-02,1.0,0.0005,-0.0048614483532259944,-0.005361448353225995,-0.005591951943178353,2000-05-26,1,0.5716114640235901,0.5716114640235901,0,0.45,0.68,bull,1,1,0,0.9955257098805195
2000-06-05,1.0,0.0,-0.00446026525454013,-0.00446026525454013,-0.00469114334743248,2000-05-26,1,0.5117153525352478,0.5117153525352478,0,0.45,0.68,hold,0,0,0,0.991085401146738
2000-06-06,0.0,0.0005,0.0002282558329096407,-0.0002717441670903593,-0.0005,2000-05-26,0,0.06776352226734161,0.06776352226734161,0,0.45,0.68,bear,1,0,0,0.990816079469888
2000-06-07,0.0,0.0,0.00022788108344018454,0.00022788108344018454,0.0,2000-05-26,0,0.6495551466941833,0.6495551466941833,0,0.45,0.68,hold,0,0,0,0.9910418677115675
2000-06-08,0.0,0.0,0.0002282558329096407,0.0002282558329096407,0.0,2000-05-26,0,0.12003026902675629,0.12003026902675629,0,0.45,0.68,bear,0,0,0,0.9912680787985304
2000-06-09,0.0,0.0,0.00022863054714061803,0.00022863054714061803,0.0,2000-05-26,0,0.23518984019756317,0.23518984019756317,0,0.45,0.68,bear,0,0,0,0.9914947129617492
2000-06-12,0.0,0.0,0.00022675662353544013,0.00022675662353544013,0.0,2000-05-26,0,0.2111395001411438,0.2111395001411438,0,0.45,0.68,bear,1,0,0,0.9917195409551136
