rebalance_date,train_start,train_end,val_start,val_end,oos_start,oos_end,selected_config_id,selected_smoothing_halflife,selected_threshold,oos_sharpe,oos_accuracy,oos_balanced_accuracy,oos_f1,validation_sharpe,validation_accuracy,validation_balanced_accuracy,validation_f1
2008-04-28,1993-04-28,2004-04-27,2004-04-28,2008-04-25,2008-04-28,2008-10-27,cfg_010,8,0.5,-0.5488756773925431,0.859375,0.8071428571428572,0.6896551724137931,0.05945734273143445,0.7654075546719682,0.748063872745963,0.8096774193548387
2008-10-28,1993-10-28,2004-10-27,2004-10-28,2008-10-27,2008-10-28,2009-04-27,cfg_010,8,0.5,0.553369251564744,0.8951612903225806,0.8058035714285714,0.7346938775510204,0.17152479962726588,0.791459781529295,0.7840167548500881,0.8198970840480274
2009-04-28,1994-04-28,2005-04-27,2005-04-28,2009-04-27,2009-04-28,2009-10-27,cfg_009,8,0.45,2.3713683373104564,0.8828125,0.5,0.9377593360995851,0.2869188945008611,0.8041749502982107,0.8028879052896805,0.8167441860465117
2009-10-28,1994-10-28,2005-10-27,2005-10-28,2009-10-27,2009-10-28,2010-04-27,cfg_009,8,0.45,1.112944042732717,0.8306451612903226,0.61,0.9023255813953488,0.8175650357883922,0.827037773359841,0.8218453486746169,0.8476357267950964
2010-04-28,1995-04-28,2006-04-27,2006-04-28,2010-04-27,2010-04-28,2010-10-27,cfg_010,8,0.5,0.08196650534003783,0.71875,0.7189255189255189,0.71875,0.8445896342814602,0.8359840954274353,0.8328619084716645,0.8530721282279609
2010-10-28,1995-10-30,2006-10-27,2006-10-30,2010-10-27,2010-10-28,2011-04-27,cfg_010,8,0.5,2.47719152471262,0.896,0.5,0.9451476793248945,0.6453116628050606,0.8180914512922465,0.8158858386553554,0.8328767123287671
2011-04-28,1996-04-29,2007-04-27,2007-04-30,2011-04-27,2011-04-28,2011-10-27,cfg_010,8,0.5,-1.0710368320366657,0.7265625,0.7164502164502164,0.6601941747572816,0.8297729920495241,0.8194444444444444,0.8157332244108071,0.8377896613190731
2011-10-28,1996-10-28,2007-10-26,2007-10-29,2011-10-27,2011-10-28,2012-04-27,cfg_010,8,0.5,0.39588555448365553,0.792,0.5283605283605284,0.8818181818181818,0.7139471333067539,0.8156590683845392,0.8153065239631699,0.8228571428571428
2012-04-30,1997-04-30,2008-04-29,2008-04-30,2012-04-27,2012-04-30,2012-10-26,cfg_008,4,0.55,-0.4615034698301724,0.7874015748031497,0.7432753164556962,0.8439306358381503,0.8879005174675795,0.8541666666666666,0.8469843361147709,0.8776019983347211
2012-10-31,1997-10-31,2008-10-30,2008-10-31,2012-10-26,2012-10-31,2013-04-29,cfg_010,8,0.5,2.63393812197097,0.8699186991869918,0.8014563106796116,0.9207920792079208,0.8047235058666937,0.8061630218687873,0.7662298243876817,0.8573518653986832
