Date,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,signal_zone,rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,predicted_probability_raw,predicted_probability_smoothed,y_true,equity_predicted_strategy,predicted_label,predicted_bull_flag,predicted_bear_flag
2000-05-30,0,0.0,0.0002263817330461,0.0002263817330461,0.0,bear,2000-05-26,12,0.48,0.67,0.003221237799152732,0.003221237799152732,0,1.0002263817330461,0,0,1
2000-05-31,0,0.0,0.0002173737645034,0.0002173737645034,0.0,bear,2000-05-26,12,0.48,0.67,0.05002220347523689,0.005847974164883425,0,1.0004438047069992,0,0,1
2000-06-01,0,0.0,0.0002215049445473,0.0002215049445473,0.0,bear,2000-05-26,12,0.48,0.67,0.06645409762859344,0.009249534499982292,0,1.0006654079564836,0,0,1
2000-06-02,0,0.0,0.0002263817330461,0.0002263817330461,0.0,bear,2000-05-26,12,0.48,0.67,0.05577065050601959,0.011860564110635803,1,1.0008919403257361,0,0,1
2000-06-05,0,0.0,0.0002305035899523,0.0002305035899523,0.0,bear,2000-05-26,12,0.48,0.67,0.9569366574287415,0.06490360941621443,1,1.0011226495111356,0,0,1
2000-06-06,0,0.0,0.0002308780928923,0.0002308780928923,0.0,bear,2000-05-26,12,0.48,0.67,0.5593036413192749,0.09265215101696633,1,1.0013537867992062,0,0,1
2000-06-07,0,0.0,0.0002282558329096,0.0002282558329096,0.0,bear,2000-05-26,12,0.48,0.67,0.1966017633676529,0.09848639445662014,1,1.0015823516418492,0,0,1
2000-06-08,0,0.0,0.0002278810834401,0.0002278810834401,0.0,bear,2000-05-26,12,0.48,0.67,0.6458753347396851,0.12920897496044656,1,1.001810593313296,0,0,1
2000-06-09,0,0.0,0.0002282558329096,0.0002282558329096,0.0,bear,2000-05-26,12,0.48,0.67,0.03895564377307892,0.1241434447147888,0,1.0020392624246903,0,0,1
2000-06-12,0,0.0,0.0002286305471406,0.0002286305471406,0.0,bear,2000-05-26,12,0.48,0.67,0.16007313132286072,0.12616002307079818,0,1.002268359209515,0,0,1
2000-06-13,0,0.0,0.0002267566235354,0.0002267566235354,0.0,bear,2000-05-26,12,0.48,0.67,0.08380458503961563,0.12378279499963013,1,1.0024956301985257,0,0,1
2000-06-14,0,0.0,0.0002245067513928,0.0002245067513928,0.0,bear,2000-05-26,12,0.48,0.67,0.44466760754585266,0.1417926756537928,1,1.0027206972357472,0,0,1
2000-06-15,0,0.0,0.0002252568499221,0.0002252568499221,0.0,bear,2000-05-26,12,0.48,0.67,0.44465821981430054,0.1587912124848342,1,1.0029465669413582,0,0,1
2000-06-16,0,0.0,0.0002248818183065,0.0002248818183065,0.0,bear,2000-05-26,12,0.48,0.67,0.6705557107925415,0.18751434669746256,0,1.0031721113889964,0,0,1
2000-06-19,0,0.0,0.0002252568499221,0.0002252568499221,0.0,bear,2000-05-26,12,0.48,0.67,0.10138080269098282,0.1826800423389373,1,1.0033980827787377,0,0,1
2000-06-20,0,0.0,0.0002233813387955,0.0002233813387955,0.0,bear,2000-05-26,12,0.48,0.67,0.6899903416633606,0.21115318157217633,1,1.0036222231858136,0,0,1
2000-06-21,0,0.0,0.000224131649174,0.000224131649174,0.0,bear,2000-05-26,12,0.48,0.67,0.11656849086284637,0.20584455079632577,0,1.0038471666898439,0,0,1
2000-06-22,0,0.0,0.0002252568499221,0.0002252568499221,0.0,bear,2000-05-26,12,0.48,0.67,0.30489397048950195,0.2114037675550847,0,1.0040732901404157,0,0,1
2000-06-23,0,0.0,0.0002260068072852,0.0002260068072852,0.0,bear,2000-05-26,12,0.48,0.67,0.0434708297252655,0.20197841599600366,0,1.0043002175390008,0,0,1
2000-06-26,0,0.0,0.0002245067513928,0.0002245067513928,0.0,bear,2000-05-26,12,0.48,0.67,0.007075413130223751,0.1910393509997599,0,1.0045256897182635,0,0,1
2000-06-27,0,0.0,0.0002248818183065,0.0002248818183065,0.0,bear,2000-05-26,12,0.48,0.67,0.07118374854326248,0.18431237293293928,0,1.004751589281903,0,0,1
2000-06-28,0,0.0,0.000224131649174,0.000224131649174,0.0,bear,2000-05-26,12,0.48,0.67,0.01768244057893753,0.17496015345176802,0,1.0049767859126189,0,0,1
2000-06-29,0,0.0,0.0002256318462461,0.0002256318462461,0.0,bear,2000-05-26,12,0.48,0.67,0.04034508764743805,0.16740479036010095,0,1.0052035406802589,0,0,1
2000-06-30,0,0.0,0.0002267566235354,0.0002267566235354,0.0,bear,2000-05-26,12,0.48,0.67,0.006509516388177872,0.15837443252215955,0,1.0054314772411095,0,0,1
2000-07-03,0,0.0,0.0002312525606407,0.0002312525606407,0.0,bear,2000-05-26,12,0.48,0.67,0.01548809465020895,0.15035483860070056,0,1.0056639858447702,0,0,1
2000-07-05,0,0.0,0.0002308780928923,0.0002308780928923,0.0,bear,2000-05-26,12,0.48,0.67,0.3436698913574219,0.1612047788056462,0,1.0058961716279127,0,0,1
2000-07-06,0,0.0,0.0002320013905876,0.0002320013905876,0.0,bear,2000-05-26,12,0.48,0.67,0.004435284994542599,0.15240598321495502,0,1.0061295409385171,0,0,1
2000-07-07,0,0.0,0.0002327500798466,0.0002327500798466,0.0,bear,2000-05-26,12,0.48,0.67,0.13443277776241302,0.15139722470561798,0,1.0063637176695066,0,0,1
2000-07-10,0,0.0,0.0002349953040232,0.0002349953040232,0.0,bear,2000-05-26,12,0.48,0.67,0.36170390248298645,0.1632008315435024,0,1.0066002084172982,0,0,1
2000-07-11,0,0.0,0.0002349953040232,0.0002349953040232,0.0,bear,2000-05-26,12,0.48,0.67,0.36306124925613403,0.17441813485534768,0,1.0068367547393051,0,0,1
2000-07-12,0,0.0,0.0002376131344081,0.0002376131344081,0.0,bear,2000-05-26,12,0.48,0.67,0.40124592185020447,0.18714900030332443,1,1.007075992376436,0,0,1
2000-07-13,0,0.0,0.000237986969833,0.000237986969833,0.0,bear,2000-05-26,12,0.48,0.67,0.6799265742301941,0.2148064803350176,1,1.0073156633402534,0,0,1
2000-07-14,0,0.0,0.0002376131344081,0.0002376131344081,0.0,bear,2000-05-26,12,0.48,0.67,0.8469139337539673,0.25028394561718054,1,1.007555014772358,0,0,1
2000-07-17,0,0.0,0.0002368653583333,0.0002368653583333,0.0,bear,2000-05-26,12,0.48,0.67,0.9832023978233337,0.2914194974955202,1,1.0077936696519725,0,0,1
2000-07-18,0,0.0,0.0002372392639105,0.0002372392639105,0.0,bear,2000-05-26,12,0.48,0.67,0.9557627439498901,0.3287062188180468,1,1.0080327578803343,0,0,1
2000-07-19,0,0.0,0.000237986969833,0.000237986969833,0.0,bear,2000-05-26,12,0.48,0.67,0.5350828766822815,0.34028925058713194,0,1.0082726565418747,0,0,1
2000-07-20,0,0.0,0.000237986969833,0.000237986969833,0.0,bear,2000-05-26,12,0.48,0.67,0.1884131133556366,0.3317650979977649,1,1.0085126122961705,0,0,1
2000-07-21,0,0.0,0.0002361174419138,0.0002361174419138,0.0,bear,2000-05-26,12,0.48,0.67,0.4698304235935211,0.3395141092916525,0,1.0087507397143238,0,0,1
2000-07-24,0,0.0,0.0002391082657355,0.0002391082657355,0.0,bear,2000-05-26,12,0.48,0.67,0.02301573008298874,0.32175042022343625,0,1.0089919403542564,0,0,1
2000-07-25,0,0.0,0.0002387345354899,0.0002387345354899,0.0,bear,2000-05-26,12,0.48,0.67,0.007485606707632542,0.3041120915649024,0,1.0092328215764501,0,0,1
2000-07-26,0,0.0,0.000237986969833,0.000237986969833,0.0,bear,2000-05-26,12,0.48,0.67,0.004987790249288082,0.2873235345599553,0,1.0094730058375132,0,0,1
