event_id,case_label,trough_date,trough_drawdown,recovery_proxy_date,recovery_proxy_rule,strategy_reentry_date,lag_days,position_at_trough,signal_zone_at_trough
1,major_trough,2001-04-03,-0.27649851876656406,2001-04-04,fwd20_positive,2001-05-09,35,0,bear
2,major_trough,2001-09-21,-0.35305820756495365,2001-09-24,fwd20_positive,2001-11-30,67,0,bear
3,major_trough,2002-10-09,-0.4762925417088514,2002-10-10,fwd20_positive,2002-12-02,53,0,bear
4,major_trough,2003-03-11,-0.455679642149737,2003-03-12,fwd20_positive,2003-05-05,54,0,bear
5,major_trough,2003-08-05,-0.3414816030617981,2003-08-06,fwd20_positive,2003-09-08,33,1,hold
6,major_trough,2003-11-20,-0.2884943429754224,2003-11-21,fwd20_positive,2003-11-21,0,1,bull
7,major_trough,2004-08-06,-0.2656558792988586,2004-08-09,fwd20_positive,2004-09-13,35,0,bear
8,major_trough,2005-04-20,-0.21440738750523236,2005-04-21,fwd20_positive,2005-06-02,42,0,bear
9,major_trough,2005-10-13,-0.18953091473052563,2005-10-14,fwd20_positive,2005-11-18,35,0,bear
10,major_trough,2006-02-07,-0.1381776255257734,2006-02-08,fwd20_positive,2006-02-08,0,1,bull
11,major_trough,2006-06-13,-0.16296264805288085,2006-06-14,fwd20_positive,2006-08-22,69,0,bear
12,major_trough,2008-03-10,-0.17220549589307899,2008-03-11,fwd20_positive,2008-04-25,45,0,bear
13,gfc_recovery,2009-03-09,-0.5569273201989486,2009-03-10,fwd20_positive,2009-04-09,30,0,bear
14,major_trough,2009-07-10,-0.41302071422813813,2009-07-13,fwd20_positive,2009-07-13,0,1,bull
15,major_trough,2009-10-30,-0.3056262593621091,2009-11-02,fwd20_positive,2009-11-02,0,1,bull
16,major_trough,2010-02-08,-0.28055510699419905,2010-02-09,fwd20_positive,2010-03-01,20,0,bear
17,major_trough,2010-07-02,-0.30185381923269095,2010-07-06,fwd20_positive,2010-08-06,31,0,bear
18,major_trough,2010-10-04,-0.21879369914005076,2010-10-05,fwd20_positive,2010-10-05,0,1,bull
19,major_trough,2011-03-16,-0.1312093941679462,2011-03-17,fwd20_positive,2011-03-30,13,1,hold
20,major_trough,2011-10-03,-0.22437314466470848,2011-10-04,fwd20_positive,2011-10-19,15,0,bear
21,major_trough,2012-01-06,-0.10297991274827323,2012-01-09,fwd20_positive,2012-01-09,0,1,bull
22,major_trough,2015-08-25,-0.11910233944767801,2015-09-01,fwd20_positive,2015-10-23,52,0,hold
23,major_trough,2016-02-11,-0.1249275705780456,2016-02-12,fwd20_positive,2016-03-17,34,0,bear
24,major_trough,2018-02-08,-0.10101882187174382,2018-02-09,fwd20_positive,2018-02-09,0,1,bull
25,major_trough,2018-12-24,-0.17430302782357954,2018-12-26,fwd20_positive,2019-02-19,55,0,bear
26,covid_recovery,2020-03-23,-0.33717277905478016,2020-03-24,fwd20_positive,2020-05-29,66,0,bear
27,2023_recovery,2022-06-16,-0.21134311679230033,2022-06-17,fwd20_positive,2022-07-28,41,0,bear
28,2023_recovery,2022-10-12,-0.22656941465805436,2022-10-13,fwd20_positive,2022-10-31,18,0,bear
29,2023_recovery,2023-03-13,-0.15393925664669517,2023-03-14,fwd20_positive,2023-03-30,16,0,bear
30,major_trough,2025-04-08,-0.18755225458981695,2025-04-09,fwd20_positive,2025-05-02,23,0,bear
