main_rebalance_date,penalty,subwindow_start,subwindow_end,initial_position,final_position,switch_count,sharpe
2009-02-02,0.0,2009-02-02,2009-07-31,0,1,13,4.121988013064451
2009-08-03,0.0,2009-08-03,2010-02-02,1,0,9,3.2310861516021623
2010-02-03,0.0,2010-02-03,2010-08-02,0,1,13,5.882184107372027
2010-08-03,0.0,2010-08-03,2011-02-02,1,1,8,4.6343053581745295
2011-02-03,0.0,2011-02-03,2011-08-02,1,0,19,3.194720432641967
2011-08-03,0.0,2011-08-03,2012-02-02,0,1,13,4.668133733893105
2012-02-03,0.0,2012-02-03,2012-08-02,1,1,16,3.516812499897106
2012-08-03,0.0,2012-08-03,2013-02-01,1,1,12,4.284611771226147
2013-02-04,0.0,2013-02-04,2013-08-02,1,1,12,4.4337040321076495
2013-08-05,0.0,2013-08-05,2014-02-04,1,0,7,2.8654511504618516
2014-02-05,0.0,2014-02-05,2014-08-04,0,0,12,3.5285186362914422
2014-08-05,0.0,2014-08-05,2015-02-04,0,1,11,4.417391688422466
2015-02-05,0.0,2015-02-05,2015-08-04,1,0,27,4.715786063756897
2015-08-05,0.0,2015-08-05,2016-02-04,0,0,18,3.669847659379935
2016-02-05,0.0,2016-02-05,2016-08-04,0,1,21,4.925356541441614
2016-08-05,0.0,2016-08-05,2017-02-03,1,1,16,4.350160010011215
2017-02-06,0.0,2017-02-06,2017-08-04,1,1,6,3.5451731103919495
2017-08-07,0.0,2017-08-07,2018-02-06,1,0,7,5.3404076155131985
2018-02-07,0.0,2018-02-07,2018-08-06,0,1,13,4.313725523912671
2018-08-07,0.0,2018-08-07,2019-02-06,1,1,8,2.9989239698152526
2019-02-07,0.0,2019-02-07,2019-08-06,1,0,5,3.7423346025168955
2019-08-07,0.0,2019-08-07,2020-02-06,0,1,11,5.445416522900163
2020-02-07,0.0,2020-02-07,2020-08-06,1,1,16,5.033847430934684
2020-08-07,0.0,2020-08-07,2021-02-05,1,1,12,4.581481794766481
2021-02-08,0.0,2021-02-08,2021-08-06,1,1,16,5.075990868073019
2021-08-09,0.0,2021-08-09,2022-02-08,1,0,17,4.904078991393721
2022-02-09,0.0,2022-02-09,2022-08-08,0,1,5,3.2650145182853167
2022-08-09,0.0,2022-08-09,2023-02-08,1,1,18,3.368679173465691
2023-02-09,0.0,2023-02-09,2023-08-08,1,0,17,4.601155962385436
2023-08-09,0.0,2023-08-09,2024-02-08,0,1,9,4.337413992695859
2024-02-09,0.0,2024-02-09,2024-08-08,1,0,11,3.6447590324666104
2024-08-09,0.0,2024-08-09,2025-02-07,0,0,18,4.61406453533946
2025-02-10,0.0,2025-02-10,2025-08-08,0,1,13,3.8743645817653123
2025-08-11,0.0,2025-08-11,2026-02-10,1,0,19,4.802851897661931
2026-02-11,0.0,2026-02-11,2026-04-10,0,1,3,3.478266430666965
2009-02-02,1.0,2009-02-02,2009-07-31,0,1,13,3.99992691699484
2009-08-03,1.0,2009-08-03,2010-02-02,1,0,7,3.18468403610347
2010-02-03,1.0,2010-02-03,2010-08-02,0,1,7,3.830102620185573
2010-08-03,1.0,2010-08-03,2011-02-02,1,1,4,3.9055007562513966
2011-02-03,1.0,2011-02-03,2011-08-02,1,0,15,2.3303128443309578
2011-08-03,1.0,2011-08-03,2012-02-02,0,1,11,3.61448635276717
2012-02-03,1.0,2012-02-03,2012-08-02,1,1,14,2.7456391628341392
2012-08-03,1.0,2012-08-03,2013-02-01,1,1,6,3.3992113562079567
2013-02-04,1.0,2013-02-04,2013-08-02,1,1,10,3.562980639198853
2013-08-05,1.0,2013-08-05,2014-02-04,1,0,5,2.6334752725756454
2014-02-05,1.0,2014-02-05,2014-08-04,0,0,6,3.1678066610405335
