rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,selected_rising_entry_floor,validation_sharpe,validation_balanced_accuracy,oos_sharpe
2000-05-26,4,0.49,0.67,0.5,0.5537933614214007,0.7964353332898088,-1.5078632304884996
2000-11-27,4,0.47,0.67,0.5,0.19277017562755236,0.7856048526430168,0.026046163511653918
2001-05-29,8,0.48,0.67,0.53,0.4667482868432633,0.7431254837068298,0.42716598571236036
2001-11-29,8,0.48,0.67,0.53,0.11060787137926471,0.7216023442291529,-0.604031494125276
2002-05-29,8,0.47,0.67,0.53,0.25766556383677774,0.7096633525204954,-0.6126083504928225
2002-11-29,12,0.45,0.67,0.58,0.04983981757279881,0.6099553750501404,0.005664026348742638
2003-05-29,12,0.5,0.67,0.58,-0.29230815490149376,0.5750970331909838,1.723487297122781
2003-12-01,12,0.46,0.67,0.58,0.09496307412736199,0.6799698795180723,0.3204891464688858
2004-06-01,12,0.5,0.67,0.58,0.46712577970371055,0.7278027385537014,-0.35846661944661656
2004-12-01,12,0.5,0.67,0.58,0.3924657104419876,0.7352878042336779,-0.5904362753287546
2005-06-01,12,0.5,0.67,0.58,0.31710863238364007,0.7306157053960425,-0.2009498216812784
2005-12-01,12,0.49,0.67,0.53,0.69092627861632,0.7351071784646062,-0.3129609966696659
2006-06-01,12,0.49,0.67,0.53,0.6452303255896001,0.7171202141989439,2.727496991481725
2006-12-01,12,0.46,0.67,0.58,0.6557670246155539,0.6553490304219476,0.8851231750883704
2007-06-01,12,0.46,0.67,0.5,0.7869022732761194,0.6446440516005734,-1.4907372694962817
2007-12-03,8,0.48,0.67,0.5,0.30133661866871875,0.7243336547818773,0.1755279972652589
2008-06-03,8,0.48,0.67,0.5,0.30040265190102344,0.7505075673680325,0.0
2008-12-03,8,0.47,0.67,0.5,0.1831776717475083,0.786368030937802,1.8304321566169743
2009-06-03,8,0.47,0.67,0.5,0.6356747216407788,0.8089688029390343,2.1197145759253884
2009-12-03,8,0.48,0.67,0.5,0.7558424750966709,0.8175061263341232,0.17547568942500746
2010-06-03,4,0.47,0.67,0.55,0.7457967481515784,0.8519170389072311,1.6193224625572216
2010-12-03,8,0.5,0.67,0.53,0.9194331076552903,0.8170614970035797,1.4462606830935922
2011-06-03,8,0.49,0.67,0.53,0.9431507108347652,0.8089727648309334,-1.2807667743996347
2011-12-05,4,0.46,0.67,0.6,0.6777972872964872,0.8237551121974322,0.8305451729927413
2012-06-05,4,0.46,0.67,0.6,0.8572132487161376,0.8272078092243187,0.15622665684573073
2012-12-05,4,0.46,0.67,0.6,0.9444605207269676,0.7845196084959052,2.8784393989294026
2013-06-05,4,0.46,0.67,0.6,1.020135910966136,0.7563344782426055,0.1981016452617212
2013-12-05,4,0.46,0.67,0.53,0.8769655556132399,0.76543110864842,0.47564771609788775
2014-06-05,4,0.46,0.67,0.53,0.8813463428396955,0.7546703296703297,0.9242534840334073
2014-12-05,12,0.45,0.67,0.6,0.9822207413501156,0.6553457267833109,0.37393724634525977
2015-06-05,12,0.45,0.67,0.6,0.8774406847068371,0.6340952333885196,-0.6523273208663296
2015-12-07,12,0.45,0.67,0.55,1.0535777914420708,0.6243166881641177,-0.027545715841930017
2016-06-07,12,0.47,0.67,0.55,0.9845050873928922,0.6407400877605391,0.3101113231214222
2016-12-07,12,0.46,0.67,0.55,1.0289971593540037,0.6247210586070547,2.5304243114256058
2017-06-07,12,0.46,0.67,0.55,0.9582393666377577,0.6250037093088816,2.4589736536072224
2017-12-07,12,0.47,0.67,0.58,1.0202516336902883,0.6581400742115028,0.18684619157882004
2018-06-07,12,0.5,0.67,0.58,0.8008946398650066,0.6694894158871794,-0.8182535744623171
2018-12-07,12,0.47,0.67,0.55,0.6891489063162859,0.6776524644945698,0.3846075731944221
2019-06-07,8,0.47,0.67,0.5,0.7641669472919942,0.7365434261478886,0.5977931873717521
2019-12-09,0,0.45,0.66,0.5,1.0031394241321665,0.8640667454079723,1.7256144248771548
2020-06-09,0,0.45,0.67,0.5,1.0004646484743036,0.8610087562898688,0.19907871619467649
2020-12-09,0,0.45,0.67,0.5,0.9578277438329106,0.8729472774416595,1.7581124426023942
2021-06-09,0,0.45,0.67,0.5,0.976253027405046,0.8623686914820735,1.390711038351871
2021-12-09,0,0.47,0.67,0.55,1.0398991001254052,0.8787733084221709,-0.7872569129603915
2022-06-09,0,0.47,0.67,0.55,1.0689315419736445,0.8906093712275377,-1.1736255013523973
2022-12-09,4,0.48,0.67,0.5,0.6409826003480741,0.7977625929481984,0.2772132381772441
2023-06-09,8,0.5,0.67,0.53,0.5609138226769064,0.73840885142255,0.9093695103777842
2023-12-11,4,0.49,0.67,0.58,0.8057456272756077,0.7843914264259362,2.3907648360675187
2024-06-11,4,0.49,0.67,0.58,0.9198222414396773,0.7996801262878033,-0.06736582177954144
2024-12-11,4,0.49,0.67,0.55,0.8418444687947062,0.8096480613119548,0.026695673977634688
2025-06-11,4,0.49,0.67,0.58,0.5590847464131332,0.806020026099789,1.7844702405437314
2025-12-11,4,0.48,0.67,0.55,0.6397230322723316,0.8067669942669943,-1.5924884609532242
