group,feature
baseline_features,log_downside_dev_hl5
baseline_features,log_downside_dev_hl21
baseline_features,ewm_return_hl5
baseline_features,ewm_return_hl10
baseline_features,ewm_return_hl21
baseline_features,sortino_hl5
baseline_features,sortino_hl10
baseline_features,sortino_hl21
baseline_features,ret_1_5d
baseline_features,ret_6_20d
baseline_features,ret_21_60d
baseline_features,close_over_ma20
baseline_features,close_over_ma60
baseline_features,dgs2_change_ewm21
baseline_features,slope_10y_2y_ewm21
baseline_features,slope_10y_2y_change_ewm21
baseline_features,vix_log_diff_ewm21
baseline_features,credit_spread_baa_aaa_ewm21
added_recovery_features,ma20_over_ma60
added_recovery_features,close_over_ma120
added_recovery_features,ret_61_120d
upper_threshold_grid,0.55
upper_threshold_grid,0.58
upper_threshold_grid,0.6
upper_threshold_grid,0.63
upper_threshold_grid,0.65
final_version2_features,log_downside_dev_hl5
final_version2_features,log_downside_dev_hl21
final_version2_features,ewm_return_hl5
final_version2_features,ewm_return_hl10
final_version2_features,ewm_return_hl21
final_version2_features,sortino_hl5
final_version2_features,sortino_hl10
final_version2_features,sortino_hl21
final_version2_features,ret_1_5d
final_version2_features,ret_6_20d
final_version2_features,ret_21_60d
final_version2_features,close_over_ma20
final_version2_features,close_over_ma60
final_version2_features,dgs2_change_ewm21
final_version2_features,slope_10y_2y_ewm21
final_version2_features,slope_10y_2y_change_ewm21
final_version2_features,vix_log_diff_ewm21
final_version2_features,credit_spread_baa_aaa_ewm21
final_version2_features,ma20_over_ma60
final_version2_features,close_over_ma120
final_version2_features,ret_61_120d
