Date,rebalance_date,predicted_probability_raw,predicted_probability_smoothed,predicted_label,predicted_bull_flag,predicted_bear_flag,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,signal_zone,y_true,rising_entry_trigger,drawdown_entry_trigger
2000-05-26,2000-05-26,0.0017521206755191088,0.0017521206755191088,0,0,1,0,,0.5,bear,0,0,0
2000-05-30,2000-05-26,0.1473124921321869,0.1473124921321869,0,0,1,0,,0.5,bear,0,0,0
2000-05-31,2000-05-26,0.16721884906291962,0.16721884906291962,0,0,1,0,,0.5,bear,0,0,0
2000-06-01,2000-05-26,0.2898462414741516,0.2898462414741516,0,0,1,0,,0.5,bear,1,0,0
2000-06-02,2000-05-26,0.5716114640235901,0.5716114640235901,1,1,0,0,,0.5,bull,1,0,0
2000-06-05,2000-05-26,0.5117153525352478,0.5117153525352478,1,1,0,0,,0.5,bull,0,0,0
2000-06-06,2000-05-26,0.06776352226734161,0.06776352226734161,0,0,1,0,,0.5,bear,1,0,0
2000-06-07,2000-05-26,0.6495551466941833,0.6495551466941833,1,1,0,0,,0.5,bull,0,0,0
2000-06-08,2000-05-26,0.12003026902675629,0.12003026902675629,0,0,1,0,,0.5,bear,0,0,0
2000-06-09,2000-05-26,0.23518984019756317,0.23518984019756317,0,0,1,0,,0.5,bear,0,0,0
2000-06-12,2000-05-26,0.2111395001411438,0.2111395001411438,0,0,1,0,,0.5,bear,1,0,0
2000-06-13,2000-05-26,0.5331161618232727,0.5331161618232727,1,1,0,0,,0.5,bull,1,0,0
2000-06-14,2000-05-26,0.5778933763504028,0.5778933763504028,1,1,0,0,,0.5,bull,1,0,0
2000-06-15,2000-05-26,0.540344774723053,0.540344774723053,1,1,0,0,,0.5,bull,0,0,0
2000-06-16,2000-05-26,0.07713379710912704,0.07713379710912704,0,0,1,0,,0.5,bear,1,0,0
2000-06-19,2000-05-26,0.6289948225021362,0.6289948225021362,1,1,0,0,,0.5,bull,0,0,0
2000-06-20,2000-05-26,0.24659785628318787,0.24659785628318787,0,0,1,0,,0.5,bear,1,0,0
2000-06-21,2000-05-26,0.34919989109039307,0.34919989109039307,0,0,1,0,,0.5,bear,0,0,0
2000-06-22,2000-05-26,0.04132591933012009,0.04132591933012009,0,0,1,0,,0.5,bear,0,0,0
2000-06-23,2000-05-26,0.009586059488356113,0.009586059488356113,0,0,1,0,,0.5,bear,0,0,0
2000-06-26,2000-05-26,0.16572822630405426,0.16572822630405426,0,0,1,0,,0.5,bear,0,0,0
2000-06-27,2000-05-26,0.021405380219221115,0.021405380219221115,0,0,1,0,,0.5,bear,0,0,0
2000-06-28,2000-05-26,0.449318528175354,0.449318528175354,0,0,1,0,,0.5,bear,0,0,0
2000-06-29,2000-05-26,0.003100551664829254,0.003100551664829254,0,0,1,0,,0.5,bear,0,0,0
