Date,rebalance_date,split,selected_smoothing_halflife,selected_threshold,selected_drawdown_threshold,selected_drawdown_prob_floor,predicted_probability_raw,predicted_probability_smoothed,predicted_label,y_true,drawdown_from_peak,drawdown_entry_trigger,signal_zone
2000-05-26,2000-05-26,oos,0,0.55,0.2,0.52,0.0017521206755191088,0.0017521206755191088,0,0,-0.09783558667850722,0,bear
2000-05-30,2000-05-26,oos,0,0.55,0.2,0.52,0.1473124921321869,0.1473124921321869,0,0,-0.06874812594182411,0,bear
2000-05-31,2000-05-26,oos,0,0.55,0.2,0.52,0.16721884906291962,0.16721884906291962,0,0,-0.0699592710017588,0,bear
2000-06-01,2000-05-26,oos,0,0.55,0.2,0.52,0.2898462414741516,0.2898462414741516,0,1,-0.05149064745073739,0,bear
2000-06-02,2000-05-26,oos,0,0.55,0.2,0.52,0.5716114640235901,0.5716114640235901,1,1,-0.03286498661546855,0,bull
2000-06-05,2000-05-26,oos,0,0.55,0.2,0.52,0.5117153525352478,0.5117153525352478,0,0,-0.039169574054148004,0,bear
2000-06-06,2000-05-26,oos,0,0.55,0.2,0.52,0.06776352226734161,0.06776352226734161,0,1,-0.04557893293285231,0,bear
2000-06-07,2000-05-26,oos,0,0.55,0.2,0.52,0.6495551466941833,0.6495551466941833,1,0,-0.036727624304800366,0,bull
2000-06-08,2000-05-26,oos,0,0.55,0.2,0.52,0.12003026902675629,0.12003026902675629,0,0,-0.04307145108524346,0,bear
2000-06-09,2000-05-26,oos,0,0.55,0.2,0.52,0.23518984019756317,0.23518984019756317,0,0,-0.04616160918702472,0,bear
2000-06-12,2000-05-26,oos,0,0.55,0.2,0.52,0.2111395001411438,0.2111395001411438,0,1,-0.05333034123362734,0,bear
2000-06-13,2000-05-26,oos,0,0.55,0.2,0.52,0.5331161618232727,0.5331161618232727,0,1,-0.037984641833517796,0,bear
2000-06-14,2000-05-26,oos,0,0.55,0.2,0.52,0.5778933763504028,0.5778933763504028,1,1,-0.03726442809019004,0,bull
2000-06-15,2000-05-26,oos,0,0.55,0.2,0.52,0.540344774723053,0.540344774723053,0,0,-0.03190262377734687,0,bear
2000-06-16,2000-05-26,oos,0,0.55,0.2,0.52,0.07713379710912704,0.07713379710912704,0,1,-0.04124494363919884,0,bear
