Date,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,rebalance_date,predicted_label,predicted_probability_raw,predicted_probability_smoothed,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,signal_zone,y_true,rising_entry_trigger,drawdown_entry_trigger,equity_predicted_strategy
2000-05-30,0.0,0.0,0.00021737376450348123,0.00021737376450348123,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,1.0002173737645035
2000-05-31,0.0,0.0,0.00022150494454731273,0.00022150494454731273,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,1.0004389268584144
2000-06-01,0.0,0.0,0.00022638173304612152,0.00022638173304612152,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,1.0006654079564834
2000-06-02,1.0,0.0005,-0.0048614483532259944,-0.005361448353225995,-0.005591951943178353,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9953003920528648
2000-06-05,1.0,0.0,-0.00446026525454013,-0.00446026525454013,-0.00469114334743248,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9908610882963612
2000-06-06,0.0,0.0005,0.0002282558329096407,-0.0002717441670903593,-0.0005,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9905918275752199
2000-06-07,1.0,0.0005,-0.003919956534362834,-0.004419956534362834,-0.004647837617803019,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9862134547540424
2000-06-08,0.0,0.0005,0.0002282558329096407,-0.0002717441670903593,-0.0005,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9859454570002071
2000-06-09,0.0,0.0,0.00022863054714061803,0.00022863054714061803,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9861708742494918
2000-06-12,0.0,0.0,0.00022675662353544013,0.00022675662353544013,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9863944950271656
2000-06-13,1.0,0.0005,0.001693345142101288,0.001193345142101288,0.0009688383907084379,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9875716041060018
2000-06-14,1.0,0.0,0.0021137586944282027,0.0021137586944282027,0.001888501844506063,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9896590921705513
2000-06-15,1.0,0.0,-0.008217015081111723,-0.008217015081111723,-0.008441896899418322,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9815270484850265
2000-06-16,0.0,0.0005,0.00022525684992213968,-0.00027474315007786033,-0.0005,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9812573806518391
2000-06-19,1.0,0.0005,-0.003578517499229772,-0.004078517499229772,-0.0043018988380252865,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9772553052536023
2000-06-20,0.0,0.0005,0.00022413164917400863,-0.0002758683508259914,-0.0005,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9769857114442061
2000-06-21,1.0,0.0005,-0.0152155270801142,-0.0157155270801142,-0.01594078393003634,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9616318660391201
2000-06-22,0.0,0.0005,0.00022600680728523947,-0.00027399319271476054,-0.0005,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9613683854539279
2000-06-23,0.0,0.0,0.00022450675139285003,0.00022450675139285003,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.961584219147038
2000-06-26,0.0,0.0,0.00022488181830659926,0.00022488181830659926,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9618004619546947
2000-06-27,0.0,0.0,0.00022413164917400863,0.00022413164917400863,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9620160318784089
2000-06-28,0.0,0.0,0.00022563184624613264,0.00022563184624613264,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9622330933318
2000-06-29,0.0,0.0,0.00022675662353544013,0.00022675662353544013,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9624512860590979
2000-06-30,0.0,0.0,0.00023125256064071564,0.00023125256064071564,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.962673855383491
2000-07-03,0.0,0.0,0.0002308780928923504,0.0002308780928923504,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9628961156872993
2000-07-05,0.0,0.0,0.000232001390587655,0.000232001390587655,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9631195089251302
2000-07-06,0.0,0.0,0.0002327500798466886,0.0002327500798466886,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9633436750677344
2000-07-07,0.0,0.0,0.00023499530402326663,0.00023499530402326663,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9635700563075359
2000-07-10,0.0,0.0,0.00023499530402326663,0.00023499530402326663,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9637964907458656
2000-07-11,0.0,0.0,0.00023761313440817666,0.00023761313440817666,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9640255014509633
2000-07-12,1.0,0.0005,0.004399912703553666,0.0038999127035536656,0.0036619257337206505,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9677851167506217
2000-07-13,1.0,0.0,0.009806391166720108,0.009806391166720108,0.009568778032311931,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9772755961708082
2000-07-14,1.0,0.0,-0.0016530840616696407,-0.0016530840616696407,-0.0018899494200029787,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9756600774589195
2000-07-17,1.0,0.0,-0.008174822200698428,-0.008174822200698428,-0.008412061464608933,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9676842297973731
2000-07-18,0.0,0.0005,0.00023798696983301504,-0.00026201303016698497,-0.0005,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9674306839200791
2000-07-19,0.0,0.0,0.00023798696983301504,0.00023798696983301504,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9676609198170688
2000-07-20,0.0,0.0,0.00023611744191387452,0.00023611744191387452,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9678894014380961
2000-07-21,0.0,0.0,0.00023910826573558808,0.00023910826573558808,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9681208317942979
2000-07-24,0.0,0.0,0.00023873453548994839,0.00023873453548994839,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9683519556713744
2000-07-25,0.0,0.0,0.00023798696983301504,0.00023798696983301504,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9685824108190365
2000-07-26,0.0,0.0,0.00023948196093437346,0.00023948196093437346,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.968814368834106
2000-07-27,0.0,0.0,0.00023873453548994839,0.00023873453548994839,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9690456582824256
2000-07-28,0.0,0.0,0.000241349911460631,0.000241349911460631,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9692795373662534
2000-07-31,0.0,0.0,0.00024060283631732737,0.00024060283631732737,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.969512748772128
2000-08-01,0.0,0.0,0.00024060283631732737,0.00024060283631732737,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9697460162893284
2000-08-02,0.0,0.0,0.00023985562109318792,0.00023985562109318792,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9699786153223682
2000-08-03,0.0,0.0,0.00023985562109318792,0.00023985562109318792,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9702112701455934
2000-08-04,0.0,0.0,0.00024172339651817865,0.00024172339651817865,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9704457929091532
2000-08-07,0.0,0.0,0.000240976391395753,0.000240976391395753,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9706796474343736
2000-08-08,0.0,0.0,0.00024060283631732737,0.00024060283631732737,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9709131957107019
2000-08-09,0.0,0.0,0.00024060283631732737,0.00024060283631732737,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9711468001794078
2000-08-10,0.0,0.0,0.0002420968465752793,0.0002420968465752793,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9713819117572929
2000-08-11,0.0,0.0,0.000241349911460631,0.000241349911460631,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.97161635469569
2000-08-14,1.0,0.0005,-0.0008374830368195196,-0.0013374830368195196,-0.0015792064333376983,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9703168343029881
2000-08-15,0.0,0.0005,0.000241349911460631,-0.000258650088539369,-0.0005,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9700658617678845
2000-08-16,0.0,0.0,0.000241349911460631,0.000241349911460631,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9702999870777331
2000-08-17,1.0,0.0005,-0.003329076634262629,-0.003829076634262629,-0.00407042654572326,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9665846340689885
2000-08-18,1.0,0.0,0.005428263202826189,0.005428263202826189,0.005185792941187817,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9718315098705225
2000-08-21,1.0,0.0,-0.0016614026140632232,-0.0016614026140632232,-0.0019031260105814019,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9702169064595946
2000-08-22,1.0,0.0,0.003951613506476548,0.003951613506476548,0.0037095166599012686,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9740508286913722
2000-08-23,1.0,0.0,0.003107972169336115,0.003107972169336115,0.002865875322760836,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9770781515584638
2000-08-24,1.0,0.0,-0.00041292066292530905,-0.00041292066292530905,-0.0006557643046394279,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9766746958003925
2000-08-25,1.0,0.0,0.0034090014737848673,0.0034090014737848673,0.003165784486975687,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9800041812777844
2000-08-28,1.0,0.0,0.00020576426613660992,0.00020576426613660992,-3.7079375577508955e-05,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9802058311189559
2000-08-29,1.0,0.0,-0.009572518733912072,-0.009572518733912072,-0.009815735720721253,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9708227924374798
2000-08-30,0.0,0.0005,0.00024284364171411887,-0.00025715635828588114,-0.0005,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9705731391836357
2000-08-31,1.0,0.0005,0.0010253929529342454,0.0005253929529342454,0.00028404304147361436,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9710830714712702
2000-09-01,1.0,0.0,-0.007991473057119003,-0.007991473057119003,-0.008232822968579634,2000-05-26,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9633226872693831
2000-09-05,0.0,0.0005,0.00023910826573558808,-0.00026089173426441193,-0.0005,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9630713643428451
2000-09-06,0.0,0.0,0.00023873453548994839,0.00023873453548994839,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9633012827376551
2000-09-07,0.0,0.0,0.00023649141767001503,0.00023649141767001503,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9635290952236532
2000-09-08,0.0,0.0,0.00023536938509716165,0.00023536938509716165,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9637558804743191
2000-09-11,0.0,0.0,0.0002346211878303528,0.0002346211878303528,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9639819980237745
2000-09-12,0.0,0.0,0.0002346211878303528,0.0002346211878303528,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9642081686251979
2000-09-13,0.0,0.0,0.00023649141767001503,0.00023649141767001503,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9644361955819251
2000-09-14,0.0,0.0,0.00023649141767001503,0.00023649141767001503,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9646642764650705
2000-09-15,0.0,0.0,0.000236865358333338,0.000236865358333338,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9648927720145868
2000-09-18,0.0,0.0,0.00023761313440817666,0.00023761313440817666,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.965122043210513
2000-09-19,0.0,0.0,0.00023723926391050476,0.00023723926391050476,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9653510080536281
2000-09-20,0.0,0.0,0.00023723926391050476,0.00023723926391050476,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.965580027216194
2000-09-21,0.0,0.0,0.00023723926391050476,0.00023723926391050476,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9658091007110974
2000-09-22,0.0,0.0,0.00023798696983301504,0.00023798696983301504,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9660389506924127
2000-09-25,0.0,0.0,0.00023798696983301504,0.00023798696983301504,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9662688553750287
2000-09-26,0.0,0.0,0.00023873453548994839,0.00023873453548994839,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.966499537121375
2000-09-27,0.0,0.0,0.00024060283631732737,0.00024060283631732737,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9667320796513058
2000-09-28,0.0,0.0,0.00023985562109318792,0.00023985562109318792,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9669639557747013
2000-09-29,0.0,0.0,0.000241349911460631,0.000241349911460631,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9671973324398131
2000-10-02,0.0,0.0,0.0002402292462186928,0.0002402292462186928,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9674296815259299
2000-10-03,0.0,0.0,0.0002402292462186928,0.0002402292462186928,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9676620864290925
2000-10-04,0.0,0.0,0.00024060283631732737,0.00024060283631732737,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.967894908671684
2000-10-05,0.0,0.0,0.0002402292462186928,0.0002402292462186928,0.0,2000-05-26,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9681274253360131
