Date,rebalance_date,predicted_probability_raw,predicted_probability_smoothed,predicted_label,predicted_bull_flag,predicted_bear_flag,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,signal_zone,y_true,rising_entry_trigger,drawdown_entry_trigger
2000-05-26,2000-05-26,0.0019663844723254442,0.0019663844723254442,0,0,1,8,,0.5,bear,0,0,0
2000-05-30,2000-05-26,0.19292856752872467,0.01781547356681602,0,0,1,8,,0.5,bear,0,0,0
2000-05-31,2000-05-26,0.1538040041923523,0.029101971779273275,0,0,1,8,,0.5,bear,0,0,0
2000-06-01,2000-05-26,0.3151674270629883,0.052844247946636544,0,0,1,8,,0.5,bear,1,0,0
2000-06-02,2000-05-26,0.8891642093658447,0.12225542333165618,0,0,1,8,,0.5,bear,1,0,0
2000-06-05,2000-05-26,0.7073924541473389,0.17081943106058153,0,0,1,8,,0.5,bear,0,0,0
2000-06-06,2000-05-26,0.1987646222114563,0.17313876893797675,0,0,1,8,,0.5,bear,1,0,0
2000-06-07,2000-05-26,0.7655757069587708,0.22230863944990747,0,0,1,8,,0.5,bear,0,0,0
2000-06-08,2000-05-26,0.1597491204738617,0.21711645231583504,0,0,1,8,,0.5,bear,0,0,0
2000-06-09,2000-05-26,0.19271457195281982,0.21509119490750145,0,0,1,8,,0.5,bear,0,0,0
2000-06-12,2000-05-26,0.04370621591806412,0.20086693459592578,0,0,1,8,,0.5,bear,1,0,0
2000-06-13,2000-05-26,0.5393533706665039,0.22895994021984428,0,0,1,8,,0.5,bear,1,0,0
2000-06-14,2000-05-26,0.4709119498729706,0.2490409787595581,0,0,1,8,,0.5,bear,1,0,0
2000-06-15,2000-05-26,0.33317431807518005,0.2560237057544442,0,0,1,8,,0.5,bear,0,0,0
2000-06-16,2000-05-26,0.0907362550497055,0.2423055156369437,0,0,1,8,,0.5,bear,1,0,0
2000-06-19,2000-05-26,0.650479793548584,0.2761823303714627,0,0,1,8,,0.5,bear,0,0,0
2000-06-20,2000-05-26,0.15126532316207886,0.26581472383811094,0,0,1,8,,0.5,bear,1,0,0
2000-06-21,2000-05-26,0.24681425094604492,0.26423776141087024,0,0,1,8,,0.5,bear,0,0,0
2000-06-22,2000-05-26,0.02484280802309513,0.2443689482024787,0,0,1,8,,0.5,bear,0,0,0
2000-06-23,2000-05-26,0.0023840407375246286,0.22428517927739572,0,0,1,8,,0.5,bear,0,0,0
2000-06-26,2000-05-26,0.06938961893320084,0.21142947404328066,0,0,1,8,,0.5,bear,0,0,0
2000-06-27,2000-05-26,0.006373661570250988,0.19441067069063805,0,0,1,8,,0.5,bear,0,0,0
2000-06-28,2000-05-26,0.09662923961877823,0.18629520726201257,0,0,1,8,,0.5,bear,0,0,0
2000-06-29,2000-05-26,0.0013330690562725067,0.17094409763071733,0,0,1,8,,0.5,bear,0,0,0
2000-06-30,2000-05-26,0.044385235756635666,0.16044022379855005,0,0,1,8,,0.5,bear,0,0,0
2000-07-03,2000-05-26,0.41406601667404175,0.18149013914622536,0,0,1,8,,0.5,bear,0,0,0
2000-07-05,2000-05-26,0.009567041881382465,0.16722121719351335,0,0,1,8,,0.5,bear,0,0,0
2000-07-06,2000-05-26,0.04571611434221268,0.15713678492685482,0,0,1,8,,0.5,bear,0,0,0
2000-07-07,2000-05-26,0.20614266395568848,0.161204074745449,0,0,1,8,,0.5,bear,0,0,0
2000-07-10,2000-05-26,0.24211151897907257,0.1679190654914833,0,0,1,8,,0.5,bear,0,0,0
2000-07-11,2000-05-26,0.34830811619758606,0.1828906273502374,0,0,1,8,,0.5,bear,1,0,0
2000-07-12,2000-05-26,0.8777759671211243,0.24056330098756928,0,0,1,8,,0.5,bear,1,0,0
2000-07-13,2000-05-26,0.9388659000396729,0.2985195933285635,0,0,1,8,,0.5,bear,1,0,0
2000-07-14,2000-05-26,0.975409984588623,0.35469875899675657,0,0,1,8,,0.5,bear,1,0,0
2000-07-17,2000-05-26,0.9880639910697937,0.40726551243355374,0,0,1,8,,0.5,bear,0,0,0
2000-07-18,2000-05-26,0.5849331617355347,0.42201120897894856,0,0,1,8,,0.5,bear,0,0,0
