rebalance_date,train_start,train_end,val_start,val_end,oos_start,oos_end,bull_state_by_train_cum_excess,better_state_by_cagr_train,better_state_by_sortino_train,better_state_by_cum_excess_train,state0_minus_state1_cagr_train,state0_minus_state1_sortino_train,better_state_by_cagr_validation,better_state_by_sortino_validation,better_state_by_cum_excess_validation,state0_minus_state1_cagr_validation,state0_minus_state1_sortino_validation,better_state_by_cagr_oos,better_state_by_sortino_oos,better_state_by_cum_excess_oos,state0_minus_state1_cagr_oos,state0_minus_state1_sortino_oos
2000-05-26,1990-01-03,1996-05-24,1996-05-28,2000-05-25,2000-05-26,2000-11-24,0,0,0,0,1.074364494139883,18.07042771317545,0,0,0,1.8133104980147823,17.4252898675147,0,0,0,3.2992704613012926,56.669711070215136
2000-11-27,1990-01-03,1996-11-26,1996-11-27,2000-11-24,2000-11-27,2001-05-25,0,0,0,0,1.0882062175451854,18.71224976585484,0,0,0,2.0637349254605124,18.70435155083611,0,0,0,4.677388942471791,26.738216789164834
2001-05-29,1990-01-03,1997-05-28,1997-05-29,2001-05-25,2001-05-29,2001-11-28,0,0,0,0,1.134137048191619,17.933937118887997,0,0,0,2.266849190699129,20.03385271951196,0,0,0,1.4928747829854254,17.83728807701278
2001-11-29,1990-01-03,1997-11-28,1997-12-01,2001-11-28,2001-11-29,2002-05-28,0,0,0,0,1.1735287913814745,17.208627261477677,0,0,0,2.460209494409439,22.366934019513238,0,0,0,2.1070347209864124,20.699735725033435
2002-05-29,1990-01-03,1998-05-28,1998-05-29,2002-05-28,2002-05-29,2002-11-27,0,0,0,0,1.2991209408605715,19.140291633797514,0,0,0,2.76792857429074,23.09792241994585,0,0,0,29.4756535247684,90.42388573148617
2002-11-29,1990-01-03,1998-11-27,1998-11-30,2002-11-27,2002-11-29,2003-05-28,0,0,0,0,1.275492171330107,17.84075720087335,0,0,0,3.297519623560147,24.52352945104172,0,0,0,4.446316907695737,35.0874626445126
2003-05-29,1990-01-03,1999-05-28,1999-06-01,2003-05-28,2003-05-29,2003-11-28,0,0,0,0,1.3847448157928683,17.96082606815182,0,0,0,3.710693422082621,30.697788659830646,0,0,0,2.0017625602518327,22.837988995041293
2003-12-01,1990-01-03,1999-11-30,1999-12-01,2003-11-28,2003-12-01,2004-05-28,0,0,0,0,1.4039508844777222,18.043805694284213,0,0,0,3.0852371261205223,26.29315747632862,0,0,0,0.8696380086769433,12.20594014410933
2004-06-01,1990-01-03,2000-05-31,2000-06-01,2004-05-28,2004-06-01,2004-11-30,0,0,0,0,1.3427472689131323,16.868908457928836,0,0,0,2.4333380417035397,23.725962814065394,0,0,0,1.1487376549783788,17.195309943335946
2004-12-01,1990-01-03,2000-11-30,2000-12-01,2004-11-30,2004-12-01,2005-05-31,0,0,0,0,1.3613068994795823,17.055026375672824,0,0,0,2.060658425520188,20.524708059565825,0,0,0,0.8293401440627085,13.303916052116303
2005-06-01,1990-06-01,2001-05-31,2001-06-01,2005-05-31,2005-06-01,2005-11-30,0,0,0,0,1.3553389440543615,16.393881649868206,0,0,0,1.8034403359892746,19.236586723761278,0,0,0,0.9335912731141096,15.693463435978042
2005-12-01,1990-12-03,2001-11-30,2001-12-03,2005-11-30,2005-12-01,2006-05-31,0,0,0,0,1.3510977281471548,16.444380617522246,0,0,0,1.6950374166749007,19.243905589394526,0,0,0,1.0979589721306842,21.988179640220373
